Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-03-16,Fri,7:17 AM,1.51,46,L
2018-03-16,Fri,1:04 PM,6.53,199,H
2018-03-16,Fri,7:41 PM,0.13,4,L
2018-03-17,Sat,1:50 AM,6.23,190,H
2018-03-17,Sat,7:54 AM,1.14,35,L
2018-03-17,Sat,1:44 PM,6.57,200,H
2018-03-17,Sat,8:13 PM,0.22,7,L
2018-03-18,Sun,2:20 AM,6.45,197,H
2018-03-18,Sun,8:32 AM,0.8,24,L
2018-03-18,Sun,2:25 PM,6.5,198,H
2018-03-18,Sun,8:46 PM,0.42,13,L
2018-03-19,Mon,2:50 AM,6.64,202,H
2018-03-19,Mon,9:11 AM,0.52,16,L
2018-03-19,Mon,3:07 PM,6.32,193,H
2018-03-19,Mon,9:19 PM,0.73,22,L
2018-03-20,Tue,3:22 AM,6.76,206,H
2018-03-20,Tue,9:53 AM,0.32,10,L
2018-03-20,Tue,3:53 PM,6.04,184,H
2018-03-20,Tue,9:54 PM,1.13,34,L
2018-03-21,Wed,3:56 AM,6.81,208,H
2018-03-21,Wed,10:39 AM,0.22,7,L
2018-03-21,Wed,4:44 PM,5.68,173,H
2018-03-21,Wed,10:33 PM,1.59,48,L
2018-03-22,Thu,4:36 AM,6.78,207,H
2018-03-22,Thu,11:31 AM,0.21,6,L
2018-03-22,Thu,5:43 PM,5.3,162,H
2018-03-22,Thu,11:19 PM,2.06,63,L
2018-03-23,Fri,5:22 AM,6.65,203,H
2018-03-23,Fri,12:31 PM,0.27,8,L
2018-03-23,Fri,6:54 PM,5,152,H
2018-03-24,Sat,12:17 AM,2.49,76,L
2018-03-24,Sat,6:20 AM,6.46,197,H
2018-03-24,Sat,1:40 PM,0.3,9,L
2018-03-24,Sat,8:15 PM,4.91,150,H
2018-03-25,Sun,1:33 AM,2.75,84,L
2018-03-25,Sun,7:31 AM,6.29,192,H
2018-03-25,Sun,2:54 PM,0.23,7,L
2018-03-25,Sun,9:34 PM,5.09,155,H
2018-03-26,Mon,2:59 AM,2.71,83,L
2018-03-26,Mon,8:49 AM,6.26,191,H
2018-03-26,Mon,4:04 PM,0.07,2,L
2018-03-26,Mon,10:39 PM,5.44,166,H
2018-03-27,Tue,4:17 AM,2.35,72,L
2018-03-27,Tue,10:03 AM,6.37,194,H
2018-03-27,Tue,5:04 PM,-0.12,-4,L
2018-03-27,Tue,11:31 PM,5.87,179,H
2018-03-28,Wed,5:22 AM,1.81,55,L
2018-03-28,Wed,11:08 AM,6.56,200,H
2018-03-28,Wed,5:56 PM,-0.24,-7,L
2018-03-29,Thu,12:16 AM,6.27,191,H
2018-03-29,Thu,6:16 AM,1.22,37,L
2018-03-29,Thu,12:06 PM,6.72,205,H
2018-03-29,Thu,6:43 PM,-0.24,-7,L
2018-03-30,Fri,12:56 AM,6.62,202,H
2018-03-30,Fri,7:05 AM,0.68,21,L
2018-03-30,Fri,12:58 PM,6.77,206,H
2018-03-30,Fri,7:25 PM,-0.1,-3,L
2018-03-31,Sat,1:33 AM,6.86,209,H
2018-03-31,Sat,7:50 AM,0.25,8,L
2018-03-31,Sat,1:47 PM,6.7,204,H
2018-03-31,Sat,8:05 PM,0.18,5,L
2018-04-01,Sun,2:08 AM,6.98,213,H
2018-04-01,Sun,8:33 AM,-0.02,-1,L
2018-04-01,Sun,2:33 PM,6.51,198,H
2018-04-01,Sun,8:43 PM,0.57,17,L
2018-04-02,Mon,2:43 AM,6.97,212,H
2018-04-02,Mon,9:15 AM,-0.13,-4,L
2018-04-02,Mon,3:19 PM,6.22,190,H
2018-04-02,Mon,9:20 PM,1.04,32,L
2018-04-03,Tue,3:17 AM,6.84,208,H
2018-04-03,Tue,9:56 AM,-0.08,-2,L
2018-04-03,Tue,4:04 PM,5.86,179,H
2018-04-03,Tue,9:57 PM,1.53,47,L
2018-04-04,Wed,3:51 AM,6.61,201,H
2018-04-04,Wed,10:39 AM,0.09,3,L
2018-04-04,Wed,4:52 PM,5.48,167,H
2018-04-04,Wed,10:35 PM,2.02,62,L
2018-04-05,Thu,4:27 AM,6.3,192,H
2018-04-05,Thu,11:24 AM,0.34,10,L
2018-04-05,Thu,5:44 PM,5.11,156,H
2018-04-05,Thu,11:18 PM,2.45,75,L
2018-04-06,Fri,5:07 AM,5.95,181,H
2018-04-06,Fri,12:15 PM,0.62,19,L
2018-04-06,Fri,6:44 PM,4.82,147,H
2018-04-07,Sat,12:09 AM,2.8,85,L
2018-04-07,Sat,5:55 AM,5.6,171,H
2018-04-07,Sat,1:13 PM,0.86,26,L
2018-04-07,Sat,7:53 PM,4.67,142,H
2018-04-08,Sun,1:17 AM,3.01,92,L
2018-04-08,Sun,6:56 AM,5.31,162,H
2018-04-08,Sun,2:18 PM,0.99,30,L
2018-04-08,Sun,9:04 PM,4.7,143,H
2018-04-09,Mon,2:36 AM,3,91,L
2018-04-09,Mon,8:07 AM,5.16,157,H
2018-04-09,Mon,3:22 PM,0.99,30,L
2018-04-09,Mon,10:04 PM,4.89,149,H
2018-04-10,Tue,3:48 AM,2.75,84,L
2018-04-10,Tue,9:17 AM,5.19,158,H
2018-04-10,Tue,4:19 PM,0.88,27,L
2018-04-10,Tue,10:51 PM,5.16,157,H
2018-04-11,Wed,4:46 AM,2.34,71,L
2018-04-11,Wed,10:19 AM,5.37,164,H
2018-04-11,Wed,5:07 PM,0.73,22,L
2018-04-11,Wed,11:29 PM,5.48,167,H
2018-04-12,Thu,5:33 AM,1.84,56,L
2018-04-12,Thu,11:13 AM,5.61,171,H
2018-04-12,Thu,5:49 PM,0.62,19,L
2018-04-13,Fri,12:02 AM,5.83,178,H
2018-04-13,Fri,6:14 AM,1.3,40,L
2018-04-13,Fri,12:01 PM,5.84,178,H
2018-04-13,Fri,6:27 PM,0.56,17,L
2018-04-14,Sat,12:34 AM,6.18,188,H
2018-04-14,Sat,6:53 AM,0.76,23,L
2018-04-14,Sat,12:46 PM,6.04,184,H
2018-04-14,Sat,7:02 PM,0.6,18,L
2018-04-15,Sun,1:05 AM,6.51,198,H
2018-04-15,Sun,7:32 AM,0.24,7,L
2018-04-15,Sun,1:30 PM,6.16,188,H
2018-04-15,Sun,7:38 PM,0.73,22,L
2018-04-16,Mon,1:37 AM,6.79,207,H
2018-04-16,Mon,8:11 AM,-0.2,-6,L
2018-04-16,Mon,2:15 PM,6.18,188,H
2018-04-16,Mon,8:14 PM,0.95,29,L
2018-04-17,Tue,2:10 AM,7,213,H
2018-04-17,Tue,8:52 AM,-0.53,-16,L
2018-04-17,Tue,3:01 PM,6.1,186,H
2018-04-17,Tue,8:52 PM,1.25,38,L
2018-04-18,Wed,2:45 AM,7.1,216,H
2018-04-18,Wed,9:35 AM,-0.71,-22,L
2018-04-18,Wed,3:51 PM,5.92,180,H
2018-04-18,Wed,9:32 PM,1.6,49,L
2018-04-19,Thu,3:24 AM,7.07,215,H
2018-04-19,Thu,10:23 AM,-0.74,-23,L
2018-04-19,Thu,4:44 PM,5.67,173,H
2018-04-19,Thu,10:17 PM,1.97,60,L
2018-04-20,Fri,4:08 AM,6.89,210,H
2018-04-20,Fri,11:15 AM,-0.62,-19,L
2018-04-20,Fri,5:44 PM,5.42,165,H
2018-04-20,Fri,11:11 PM,2.31,70,L
2018-04-21,Sat,5:00 AM,6.58,201,H
2018-04-21,Sat,12:13 PM,-0.4,-12,L
2018-04-21,Sat,6:52 PM,5.25,160,H
2018-04-22,Sun,12:17 AM,2.56,78,L
2018-04-22,Sun,6:02 AM,6.2,189,H
2018-04-22,Sun,1:19 PM,-0.16,-5,L
2018-04-22,Sun,8:03 PM,5.26,160,H
2018-04-23,Mon,1:37 AM,2.6,79,L
2018-04-23,Mon,7:17 AM,5.85,178,H
2018-04-23,Mon,2:28 PM,0.02,1,L
2018-04-23,Mon,9:12 PM,5.45,166,H
2018-04-24,Tue,3:01 AM,2.33,71,L
2018-04-24,Tue,8:38 AM,5.67,173,H
2018-04-24,Tue,3:35 PM,0.13,4,L
2018-04-24,Tue,10:10 PM,5.77,176,H
2018-04-25,Wed,4:15 AM,1.81,55,L
2018-04-25,Wed,9:54 AM,5.66,173,H
2018-04-25,Wed,4:34 PM,0.21,6,L
2018-04-25,Wed,10:59 PM,6.13,187,H
2018-04-26,Thu,5:16 AM,1.18,36,L
2018-04-26,Thu,11:01 AM,5.76,176,H
2018-04-26,Thu,5:27 PM,0.32,10,L
2018-04-26,Thu,11:42 PM,6.47,197,H
2018-04-27,Fri,6:07 AM,0.56,17,L
2018-04-27,Fri,12:00 PM,5.88,179,H
2018-04-27,Fri,6:13 PM,0.49,15,L
2018-04-28,Sat,12:21 AM,6.73,205,H
2018-04-28,Sat,6:53 AM,0.04,1,L
2018-04-28,Sat,12:53 PM,5.95,181,H
2018-04-28,Sat,6:55 PM,0.73,22,L
2018-04-29,Sun,12:57 AM,6.89,210,H
2018-04-29,Sun,7:35 AM,-0.34,-10,L
2018-04-29,Sun,1:40 PM,5.95,181,H
2018-04-29,Sun,7:35 PM,1.03,31,L
2018-04-30,Mon,1:31 AM,6.94,212,H
2018-04-30,Mon,8:15 AM,-0.56,-17,L
2018-04-30,Mon,2:26 PM,5.88,179,H
2018-04-30,Mon,8:13 PM,1.36,41,L
2018-05-01,Tue,2:04 AM,6.87,209,H
2018-05-01,Tue,8:53 AM,-0.63,-19,L
2018-05-01,Tue,3:09 PM,5.75,175,H
2018-05-01,Tue,8:50 PM,1.71,52,L
2018-05-02,Wed,2:37 AM,6.7,204,H
2018-05-02,Wed,9:32 AM,-0.56,-17,L
2018-05-02,Wed,3:52 PM,5.56,169,H
2018-05-02,Wed,9:28 PM,2.05,62,L
2018-05-03,Thu,3:10 AM,6.45,197,H
2018-05-03,Thu,10:11 AM,-0.38,-12,L
2018-05-03,Thu,4:37 PM,5.34,163,H
2018-05-03,Thu,10:07 PM,2.36,72,L
