Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-05-13,Sun,6:39 AM,0.32,10,L
2018-05-13,Sun,12:45 PM,7.59,231,H
2018-05-13,Sun,6:33 PM,1.51,46,L
2018-05-14,Mon,12:39 AM,9.09,277,H
2018-05-14,Mon,7:24 AM,-0.33,-10,L
2018-05-14,Mon,1:36 PM,7.81,238,H
2018-05-14,Mon,7:16 PM,1.73,53,L
2018-05-15,Tue,1:15 AM,9.44,288,H
2018-05-15,Tue,8:09 AM,-0.85,-26,L
2018-05-15,Tue,2:26 PM,7.94,242,H
2018-05-15,Tue,8:00 PM,1.98,60,L
2018-05-16,Wed,1:53 AM,9.7,296,H
2018-05-16,Wed,8:54 AM,-1.19,-36,L
2018-05-16,Wed,3:16 PM,7.98,243,H
2018-05-16,Wed,8:46 PM,2.23,68,L
2018-05-17,Thu,2:34 AM,9.8,299,H
2018-05-17,Thu,9:40 AM,-1.33,-41,L
2018-05-17,Thu,4:07 PM,7.93,242,H
2018-05-17,Thu,9:33 PM,2.47,75,L
2018-05-18,Fri,3:18 AM,9.72,296,H
