Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/05/05	Sat	11:40 AM	0.54		16			L
2018/05/05	Sat	06:33 PM	6.89		210			H
2018/05/05	Sat	11:44 PM	3.56		109			L
2018/05/06	Sun	05:17 AM	7.69		234			H
2018/05/06	Sun	12:27 PM	0.89		27			L
2018/05/06	Sun	07:27 PM	6.76		206			H
2018/05/07	Mon	12:43 AM	3.71		113			L
2018/05/07	Mon	06:11 AM	7.22		220			H
2018/05/07	Mon	01:23 PM	1.17		36			L
2018/05/07	Mon	08:24 PM	6.80		207			H
2018/05/08	Tue	01:54 AM	3.65		111			L
2018/05/08	Tue	07:21 AM	6.83		208			H
2018/05/08	Tue	02:24 PM	1.32		40			L
2018/05/08	Tue	09:19 PM	7.01		214			H
2018/05/09	Wed	03:06 AM	3.27		100			L
2018/05/09	Wed	08:39 AM	6.66		203			H
2018/05/09	Wed	03:24 PM	1.34		41			L
2018/05/09	Wed	10:08 PM	7.35		224			H
2018/05/10	Thu	04:09 AM	2.63		80			L
2018/05/10	Thu	09:52 AM	6.74		205			H
2018/05/10	Thu	04:17 PM	1.30		40			L
2018/05/10	Thu	10:50 PM	7.78		237			H
2018/05/11	Fri	05:04 AM	1.86		57			L
2018/05/11	Fri	10:56 AM	6.99		213			H
2018/05/11	Fri	05:05 PM	1.29		39			L
2018/05/11	Fri	11:28 PM	8.23		251			H
2018/05/12	Sat	05:53 AM	1.07		33			L
2018/05/12	Sat	11:53 AM	7.30		223			H
2018/05/12	Sat	05:49 PM	1.36		41			L
2018/05/13	Sun	12:04 AM	8.67		264			H
2018/05/13	Sun	06:39 AM	0.32		10			L
2018/05/13	Sun	12:45 PM	7.59		231			H
2018/05/13	Sun	06:33 PM	1.51		46			L
2018/05/14	Mon	12:39 AM	9.09		277			H
2018/05/14	Mon	07:24 AM	-0.33		-10			L
2018/05/14	Mon	01:36 PM	7.81		238			H
2018/05/14	Mon	07:16 PM	1.73		53			L
2018/05/15	Tue	01:15 AM	9.44		288			H
2018/05/15	Tue	08:09 AM	-0.85		-26			L
2018/05/15	Tue	02:26 PM	7.94		242			H
2018/05/15	Tue	08:00 PM	1.98		60			L
2018/05/16	Wed	01:53 AM	9.70		296			H
2018/05/16	Wed	08:54 AM	-1.19		-36			L
2018/05/16	Wed	03:16 PM	7.98		243			H
2018/05/16	Wed	08:46 PM	2.23		68			L
2018/05/17	Thu	02:34 AM	9.80		299			H
2018/05/17	Thu	09:40 AM	-1.33		-41			L
