Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/05/12	Sat	05:40 PM	1.03		31			L
2018/05/12	Sat	11:46 PM	6.44		196			H
2018/05/13	Sun	06:27 AM	0.07		2			L
2018/05/13	Sun	12:28 PM	5.50		168			H
2018/05/13	Sun	06:21 PM	1.13		34			L
2018/05/14	Mon	12:21 AM	6.82		208			H
2018/05/14	Mon	07:09 AM	-0.53		-16			L
2018/05/14	Mon	01:17 PM	5.71		174			H
2018/05/14	Mon	07:02 PM	1.27		39			L
2018/05/15	Tue	12:57 AM	7.13		217			H
2018/05/15	Tue	07:51 AM	-1.03		-31			L
2018/05/15	Tue	02:06 PM	5.85		178			H
2018/05/15	Tue	07:45 PM	1.45		44			L
2018/05/16	Wed	01:36 AM	7.33		223			H
2018/05/16	Wed	08:35 AM	-1.37		-42			L
2018/05/16	Wed	02:56 PM	5.89		180			H
2018/05/16	Wed	08:28 PM	1.66		51			L
2018/05/17	Thu	02:17 AM	7.38		225			H
2018/05/17	Thu	09:20 AM	-1.51		-46			L
2018/05/17	Thu	03:47 PM	5.84		178			H
